No.,用紙,参加地区,事業所・所属,Q2①内容の分かりやすさ,Q2②実践への活用,Q2③講師の説明,Q2④時間・進め方,Q2⑤配布資料,Q3 今後参加したい研修,Q4 研修で感じたこと,Q5 発達・行動面,Q5 保護者対応,Q5 関係機関連携,Q5 スタッフ間共有,Q5 人材育成,Q5 その他,Q5 具体的に困っているケース,備考
30,r_28,直方,放課後等デイサービス,5,5,4,3,4,保護者支援など,愛着について改めて考えることができました。,○,,,,○,,,
31,r_29,直方,その他（記載なし）,5,5,5,5,3,,研修参加2回目です。次回も必ず参加します。,,,,○,,,他責思考の中で生き苦しさを感じている方が気になります。本人は他責と思ってないので気になります,
32,r_30,田川,放課後等デイサービス,5,5,5,5,5,そのこどもにどうたいおうしているのか、色々な（具体的な）支援方法を知りたい。,,,,,,,,,
33,r_31,田川,放課後等デイサービス,5,5,5,5,5,愛着について。,出来る事から少しづつ支援して行こうと思いました。ありがとうございました。,○,○,,,,,,
34,r_32,直方,無記入,5,5,5,5,5,今日の…と対応方法（一部判読困難）,こどもの視点での話がわかりやすかった,,○,○,,,,保護者と学校のトラブル　それぞれの主張が交わらない。,
35,r_33,無記入,放課後等デイサービス,5,5,5,5,5,,親しみやすく、内容が素直に入ってきた！とても良い研修会でした,,○,○,,,,,
36,r_34,田川,放課後等デイサービス,5,5,5,5,5,アタッチメントについて続きの研修があったらいいです。継続的に…。,坂口先生の研修は昨年につづきわかりやすく、対象児童の気持ち、かかわり方など今回の研修で学んだことをどんどん取り入れて行こうと思いました。,○,○,○,,,,,
37,r_35,（飯塚市、桂川町と記入）,放課後等デイサービス,5,5,5,4,5,,とてもためになりました。自分を振り返る場面がたくさんありました。視点をもち、声かけをふりかえり、関わっていきたいと思います。すごくわかりやすく、また参加したいです。（※Q2④欄外に「もっとききたいです」）,,,,,,,,
38,r_36,田川,児童発達支援事業所,5,5,5,5,5,子どもだけではなく大人の発達障害,とても楽しくわかりやすく話をきけてよかったです。仕事でも家庭でも役立てていきたいです。,○,○,,,,,,
39,r_37,無記入,放課後等デイサービス,5,5,5,5,5,かんしゃくを行こす（起こす）原因と、対応があればいいと思います。,愛着障害などで、職員にべったりしたりする子供への対応など、勉強になり、これからの毎日に実践していきたい,○,,,,,,,
40,r_38,無記入,放課後等デイサービス,5,5,5,5,5,,支援のプロとして冷静さ、落ち着きが大切だと学びを得たと感じました。日々の支援にとても役立ちそうなことばかりでしたので、活用していきたいと思います。,○,○,,,,,,
41,r_39,田川,その他（記載なし）,5,5,5,5,5,保護者へのアプローチについてもっと深く知りたいです（障害受容）。また、家庭内での親と子のかかわり方についても知りたいです。,愛着障害の内容から具体的なアプローチの方法までお話しいただいたため、大変参考になりました。事業所では先生方に尽力していただいているのですが、家庭では孤立していることもあり、家庭へのアプローチも大切だと感じました。,,○,,,,,,
42,r_40,田川,その他（相談支援事業所）,5,5,5,5,5,不登校・ひきこもりの子・家庭への支援。,私たちが支援できたとしても、結局その子の家庭（保護者）へのアプローチが難しく、改善できないケースが多くモヤモヤすることがあるなーと思いました。,,○,○,,,,,Q2⑤欄外に「もらってない。先生が出してたスライドがほしかったんです！」
43,r_41,直方,無記入,5,5,5,5,5,虐待について。子どもへの支援・保護者への支援。事業所内でのスタッフとの関わり方,説明がとても分かりやすかった。現場に戻り、スタッフと共有することでよりよい支援ができるようにしたい。,,○,○,○,,,,
44,r_42,無記入,放課後等デイサービス／児童発達支援事業所,5,4,5,5,5,,この研修を悩んでいる親ごさん達がきくと愛着障害の子供たちがへるのではと思います。自分自身も感情豊かに子供と関わっていこうと思いました。,,,,,,,,
45,r_43,田川,放課後等デイサービス,5,5,5,5,5,,愛着についてまだまだ知らない事が沢山あったので、また研修でお話しを聞けたらと思います。,,,○,,,,,
46,r_44,無記入,放課後等デイサービス,5,5,5,5,5,,とても学びになりました。今後、子どもたちと関わる中で活かせると感じました。,,,,,,,,
